money: 0 min_coins: 0 {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 50: 0, 100: 0}
money: 88 min_coins: 6 {1: 1, 2: 1, 5: 1, 10: 1, 20: 1, 50: 1, 100: 0}
money: 89 min_coins: 6 {1: 0, 2: 2, 5: 1, 10: 1, 20: 1, 50: 1, 100: 0}
money: 90 min_coins: 3 {1: 0, 2: 0, 5: 0, 10: 0, 20: 2, 50: 1, 100: 0}
money: 91 min_coins: 4 {1: 1, 2: 0, 5: 0, 10: 0, 20: 2, 50: 1, 100: 0}
money: 92 min_coins: 4 {1: 0, 2: 1, 5: 0, 10: 0, 20: 2, 50: 1, 100: 0}
money: 93 min_coins: 5 {1: 1, 2: 1, 5: 0, 10: 0, 20: 2, 50: 1, 100: 0}
money: 94 min_coins: 5 {1: 0, 2: 2, 5: 0, 10: 0, 20: 2, 50: 1, 100: 0}
money: 95 min_coins: 4 {1: 0, 2: 0, 5: 1, 10: 0, 20: 2, 50: 1, 100: 0}
money: 96 min_coins: 5 {1: 1, 2: 0, 5: 1, 10: 0, 20: 2, 50: 1, 100: 0}
money: 97 min_coins: 5 {1: 0, 2: 1, 5: 1, 10: 0, 20: 2, 50: 1, 100: 0}
money: 98 min_coins: 6 {1: 1, 2: 1, 5: 1, 10: 0, 20: 2, 50: 1, 100: 0}
money: 99 min_coins: 6 {1: 0, 2: 2, 5: 1, 10: 0, 20: 2, 50: 1, 100: 0}
